municipio.x,codigo_ibge,regiao_administrativa,regiao_de_governo,regiao_metropolitana,aglomeracoes_urbanas,rm_au,municipio,ano,populacao,populacao_masculina,populacao_feminina,razao_de_sexos,populacao_urbana,populacao_rural,grau_urbanizacao_porcentagem
ÁGUAS DE SÃO PEDRO,3500600,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Águas de São Pedro,2014,2880,1345,1535,87.62,2880,-,100
ÁGUAS DE SÃO PEDRO,3500600,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Águas de São Pedro,2015,2928,1368,1560,87.69,2928,-,100
ÁGUAS DE SÃO PEDRO,3500600,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Águas de São Pedro,2016,2966,1387,1579,87.84,2966,-,100
ÁGUAS DE SÃO PEDRO,3500600,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Águas de São Pedro,2017,3004,1406,1598,87.98,3004,-,100
ÁGUAS DE SÃO PEDRO,3500600,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Águas de São Pedro,2018,3043,1426,1617,88.19,3043,-,100
ALAMBARI,3500758,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alambari,2014,5244,2629,2615,100.54,4092,1152,78.03
ALAMBARI,3500758,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alambari,2015,5341,2675,2666,100.34,4204,1137,78.71
ALAMBARI,3500758,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alambari,2016,5426,2716,2710,100.22,4307,1119,79.38
ALAMBARI,3500758,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alambari,2017,5512,2757,2755,100.07,4410,1102,80.01
ALAMBARI,3500758,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alambari,2018,5600,2799,2801,99.93,4516,1084,80.64
ALUMÍNIO,3501152,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alumínio,2014,17296,8712,8584,101.49,14506,2790,83.87
ALUMÍNIO,3501152,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alumínio,2015,17415,8767,8648,101.38,14606,2809,83.87
ALUMÍNIO,3501152,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alumínio,2016,17525,8818,8707,101.27,14698,2827,83.87
ALUMÍNIO,3501152,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alumínio,2017,17636,8869,8767,101.16,14791,2845,83.87
ALUMÍNIO,3501152,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-,Região Metropolitana de Sorocaba,Alumínio,2018,17747,8920,8827,101.05,14885,2862,83.87
AMERICANA,3501608,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-,Região Metropolitana de Campinas,Americana,2014,220545,107953,112592,95.88,219515,1030,99.53
AMERICANA,3501608,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-,Região Metropolitana de Campinas,Americana,2015,223160,109212,113948,95.84,222118,1042,99.53
AMERICANA,3501608,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-,Região Metropolitana de Campinas,Americana,2016,225183,110185,114998,95.81,224131,1052,99.53
AMERICANA,3501608,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-,Região Metropolitana de Campinas,Americana,2017,227223,111166,116057,95.79,226162,1061,99.53
AMERICANA,3501608,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-,Região Metropolitana de Campinas,Americana,2018,229283,112157,117126,95.76,228212,1071,99.53
ANALÂNDIA,3502002,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Analândia,2014,4530,2320,2210,104.98,3682,848,81.28
ANALÂNDIA,3502002,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Analândia,2015,4593,2351,2242,104.86,3753,840,81.71
ANALÂNDIA,3502002,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Analândia,2016,4643,2375,2268,104.72,3815,828,82.17
ANALÂNDIA,3502002,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Analândia,2017,4694,2400,2294,104.62,3877,817,82.59
ANALÂNDIA,3502002,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba,Aglomeração Urbana de Piracicaba,Analândia,2018,4746,2425,2321,104.48,3940,806,83.02
APARECIDA,3502507,Região Administrativa de São José dos Campos,Região de Governo de Guaratinguetá,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,Aparecida,2014,35292,17013,18279,93.07,34779,513,98.55
APARECIDA,3502507,Região Administrativa de São José dos Campos,Região de Governo de Guaratinguetá,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,Aparecida,2015,35363,17041,18322,93.01,34849,514,98.55
APARECIDA,3502507,Região Administrativa de São José dos Campos,Região de Governo de Guaratinguetá,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,Aparecida,2016,35432,17070,18362,92.96,34917,515,98.55
APARECIDA,3502507,Região Administrativa de São José dos Campos,Região de Governo de Guaratinguetá,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,Aparecida,2017,35501,17099,18402,92.92,34985,516,98.55
APARECIDA,3502507,Região Administrativa de São José dos Campos,Região de Governo de Guaratinguetá,Região Metropolitana do Vale do Paraíba e Litoral Norte,-,Região Metropolitana do Vale do Paraíba e Litoral Norte,Aparecida,2018,35570,17128,18442,92.87,35053,517,98.55
